北京,14713087,2004-04-14 00:00:00.0,科技推广和应用服务业,吴秋华,北京国遥新天地信息技术有限公司,1000万人民币,存续,97
北京,12078393,1992-07-17 00:00:00.0,专业技术服务业,米天明,中国华云<em>气象</em>科技集团公司,10000 万人民币,开业,95
北京,26058026,2011-04-15 00:00:00.0,批发业,徐立冬,北京首航直升机股份有限公司,202019.092万人民币,存续,94
北京,6898868,2002-09-27 00:00:00.0,电信、广播电视和卫星传输服务,石曙卫,华风<em>气象</em>传媒集团有限责任公司,10000万人民币,存续,94
北京,526846288,2003-11-06 00:00:00.0,商务服务业,张胜,中民国际通用航空有限责任公司,150000万人民币,存续,89
北京,2311474540,1998-10-06 00:00:00.0,科技推广和应用服务业,刘子豪,江河瑞通科技集团有限公司,5000万人民币,存续,87
北京,904981,1998-05-15 00:00:00.0,科技推广和应用服务业,湛秀松,北京万云科技开发有限公司,2000万人民币,存续,87
北京,24792031,2014-09-15 00:00:00.0,科技推广和应用服务业,张秀宽,北京爱种网络科技有限公司,15000万人民币,存续,86
北京,26385110,1995-02-08 00:00:00.0,商务服务业,姜秋实,北京宝龙通用航空有限公司,9947万人民币,存续,84
北京,7064605,2006-06-22 00:00:00.0,仪器仪表制造业,吴晓明,北京世纪浅海海洋<em>气象</em>仪器有限公司,500万人民币,存续,83
北京,2976808749,2009-01-14 00:00:00.0,科技推广和应用服务业,郝凤明,北京庄鼎博峰科技有限公司,5000 万人民币,开业,83
北京,2357787418,2013-09-18 00:00:00.0,研究和试验发展,周蕾,国雷安全防护科技有限公司,5000万人民币,存续,83
北京,26787488,2013-04-08 00:00:00.0,科技推广和应用服务业,闫增军,海直通用航空有限责任公司,5000 万人民币,开业,83
北京,9402795,2003-01-15 00:00:00.0,科技推广和应用服务业,叶晓平,北京品傲光电科技有限公司,2222.7万人民币,存续,82
北京,28130409,1993-07-14 00:00:00.0,电信、广播电视和卫星传输服务,邓鑫,华云信息技术工程有限公司,1000万人民币,存续,81
北京,2313137697,2015-10-16 00:00:00.0,科技推广和应用服务业,张为,灏天祥云（北京）科技服务有限公司,1000万人民币,存续,80
北京,17666219,2002-04-27 00:00:00.0,科技推广和应用服务业,关华,北京大恒软件技术有限公司,5000万人民币,存续,79
北京,2314159413,2015-10-10 00:00:00.0,专业技术服务业,汤金平,北京飒美旭<em>气象</em>服务有限公司,1000万人民币,存续,78
北京,25264291,2012-07-05 00:00:00.0,科技推广和应用服务业,王晓江,华云升达（北京）<em>气象</em>科技有限责任公司,3000万人民币,存续,78
北京,26597325,2001-08-15 00:00:00.0,批发业,张争法,精功（北京）通用航空有限责任公司,5000万人民币,存续,77
北京,2320724455,2015-09-16 00:00:00.0,科技推广和应用服务业,石曙卫,华风爱科<em>气象</em>科技（北京）有限公司,1000.01万美元,存续,75
北京,2356611910,2015-07-01 00:00:00.0,专业技术服务业,李应,北京市科荟建设工程集团有限公司,18000万人民币,存续,75
北京,2311494231,2015-08-17 00:00:00.0,研究和试验发展,邱珩,华风象辑（北京）<em>气象</em>科技有限公司,500万人民币,存续,75
北京,2351127263,2003-05-15 00:00:00.0,科技推广和应用服务业,王双一,北京双顺达信息技术股份有限公司,3000万人民币,存续,74
北京,6654417,2001-11-02 00:00:00.0,科技推广和应用服务业,穆林,北京友好创达科技有限公司,5000万人民币,存续,74
北京,2314081829,2015-07-22 00:00:00.0,科技推广和应用服务业,张弓,北京佳格大数据科技有限公司,100万人民币,存续,73
北京,2311960024,2015-09-10 00:00:00.0,科技推广和应用服务业,姚佳,华辰天泽（北京）<em>气象</em>信息科技有限公司,5000万人民币,存续,73
